2	3	4
m86	WHITMAN	"Three days too late for that one """"professor."""""
m86	BROOM	I abhor violence.  Sergeant Whitman I hope you don't think me mad --
m86	WHITMAN	Here. You'll need one of these.
m86	BROOM	Amongst other things yes -- but that's hardly the point.
m86	WHITMAN	You are a Catholic??
m86	BROOM	In private if you don't mind...
m86	WHITMAN	What is it?
m86	BROOM	Sgt. Whitman!! Sgt. Whitman!! May I have a word??
m86	WHITMAN	Oh -- you don't wanna know what I think. Topside now.
m86	BROOM	This is an important mission Sgt. Whitman. I hope you realize that.
m86	BROOM	I think that is its hand.
m86	MATLIN	It's got a big stone -- in its hand --
m86	BROOM	No. It was red. Bright red.
m86	MATLIN	What the hell was that? An ape?
m86	MATLIN	That makes him more than a hundred --
m86	BROOM	Spiritual advisor to the Romanovs.  In 1916 at a dinner in his honor he was poisoned shot stabbed clubbed drowned and castrated.
m86	MATLIN	C'mon -- Rasputin??
m86	BROOM	Grigory Yefimovich Rasputin --
m86	MATLIN	Grigory -- That's Russian right?  Thought they were on our side...
m86	BROOM	There is a place -- a dark place where evil slumbers and awaits to return. From there it infects our dreams. Our thoughts. Grigory gave us a glance tonight --
m86	MATLIN	Do you believe in hell?
m86	BROOM	No. It's not.
m86	MATLIN	It's almost over!!
m86	BROOM	I know where to find him. I'll get him back.
m86	MANNING	These freaks Trevor they give me the creeps. And I'm not the only one. You're up for review. You and your petting zoo.
m86	BROOM	He's just going through a phase --
m86	MANNING	"Your """"guest"""" happens to be six foot five bright red and is government funded."
m86	BROOM	Tom -- he's our guest not a prisoner.
m86	MANNING	I do.  How many escapes?  This year alone: five!
m86	BROOM	I thought you liked being on TV.
m86	MANNING	Every time the media get a look at him they come to me. I'm running out of lies Trevor.
m86	HELLBOY	Oh as opposed to -- ?
m86	BROOM	It's her choice --  She's human --
m86	BROOM	That's not how she feels. She may never feel it.
m86	HELLBOY	How many buildings does she have to burn? She belongs here!
m86	HELLBOY	Is it bad?
m86	BROOM	Don't look! Turn around.
m86	HELLBOY	Oh stop that --  Damn! Be careful there --
m86	BROOM	Well I won't be around forever you know?
m86	HELLBOY	Me?? C'mon --
m86	BROOM	I worry about you.
m86	HELLBOY	How hard can it be? I punched the crap out of that thing that he sent -- ouch!!
m86	BROOM	Listen to me. This time is different. There's more at stake than ever before.
m86	HELLBOY	Don't worry. I'll get him soon enough --
m86	BROOM	Son. About Rasputin --
m86	BROOM	A prison. The Vatican deemed its contents dangerous enough to include it on the List of Avignon. Of which we hold a copy.
m86	HELLBOY	Reliquary --
m86	BROOM	Smuggled into this country by an overzealous curator. The statue however was hollow --
m86	HELLBOY	Who wards off demons.
m86	BROOM	A 16th century statue was destroyed. Saint Dionysius the Aeropagite.
m86	MYERS	"Oh please. I'm not """"pure of heart."""""
m86	BROOM	And as a father I worry about him.  In medieval stories Agent Myers there's often a young knight inexperienced but pure of heart...
m86	BROOM	You're doing fine.
m86	MYERS	I'm in way over my head I know that much.
m86	BROOM	Did he now?
m86	MYERS	1945 you mean. Hitler died in '45.
m86	BROOM	1958 the occult war finally ends when Adolf Hitler dies.
m86	BROOM	"In the absence of light darkness prevails."""" For there are things that go bump in the night Agent Myers.  We are the ones who bump back."
m86	MYERS	"In absentia luci tenebrae vinciunt..."""""
m86	BROOM	Impressive. Do you remember what it said?
m86	MYERS	On the desk yes. In Latin.
m86	BROOM	As you entered the lobby there was an inscription --
m86	MYERS	Where am I -- exactly Sir?
m86	BROOM	"Abe possesses a unique frontal lobe.  """"Unique."""" That's a word you'll hear quite a bit around here."
m86	MYERS	How does he know so much about me?
m86	BROOM	"The day Abraham Lincoln died. Hence """"Abe"""" Sapien."
m86	MYERS	Icthyo Sapiens April 14 1865.
m86	BROOM	They took his name from this little inscription that was stuck on his tank.
m86	HELLBOY	This -- ? This is nothing. You know what'll kill me?  Her.
m86	CLAY	C'mon champ. You look a little woozy there.
m86	HELLBOY	Hold on -- hold on -- I thought we checked this place. Fakes and reproductions.
m86	CLAY	At nineteen hundred hours an alarm tripped. B&E. Robbery. Six guards dead --
m86	HELLBOY	C'mon Champ! Happy Halloween!!! You're taking me for a walk!
m86	CLAY	We're on the move.
m86	HELLBOY	Hey hey hey. They're playing our song.
m86	CLAY	Try not to stare. He hates when people stare.
m86	HELLBOY	"Myers"""" huh? You have a first name??"
m86	CLAY	It is. You got yourself on TV again.
m86	HELLBOY	I wanted to see her.  It's nobody's business.
m86	CLAY	Well you did break out --
m86	CLAY	Manning says I'm too soft on you --  The candy. Give him the candy.
m86	HELLBOY	I don't want him.
m86	CLAY	Nah. I'll be around Red just back in the field.
m86	HELLBOY	Got tired of me?
m86	CLAY	Agent Myers is your new liaison.
m86	HELLBOY	Who's the squirt?
m86	CLAY	Not so fast. He barely knows him --
m86	MYERS	Sir may I go first??
m86	MYERS	His what??!!
m86	CLAY	"His horns. He files 'em. To """"fit in."""""
m86	MYERS	Uh-oh -- John.  Staring at what?
m86	CLAY	Yup. Sixty years old by our count. But he doesn't age like we do -- think dog years: He's barely out of his teens.
m86	MYERS	Oh Jesus!! Hellboy -- ?? Is real --
m86	MYERS	Who?!
m86	CLAY	He gets fed six times a day. He's got a thing for cats. You'll be his nanny his keeper his best friend. He never goes out unsupervised --
m86	CLAY	Okay. You saw the fish man right?
m86	MYERS	Grounded? Who's grounded?
m86	CLAY	They're not speaking. Professor Broom had him grounded.
m86	HELLBOY	I can live with that.
m86	GRIGORY	You will never fulfill your destiny. You will never understand the power inside you.
m86	HELLBOY	Anung-un-Rama...
m86	GRIGORY	"Names hold the power and nature of things. Mine for example. Rasputin: """"The crossroads.""""  And crossroads I have become.  Your true name: Anung-un-Rama. Repeat it. Become the key."
m86	HELLBOY	Noooo! Noooo!!!
m86	GRIGORY	She's dead.
m86	HELLBOY	Don't tell me it's Zeppo.
m86	GRIGORY	I sang the first lullaby you ever heard my child. I ushered you into this world.  I alone know your true calling your true name.
m86	HELLBOY	That voice --
m86	HELLBOY	My job.
m86	MANNING	Thank you.
m86	MANNING	You never ever light a cigar that way.
m86	HELLBOY	Yup.
m86	MANNING	You call that thing a cigar??
m86	HELLBOY	You'd better stay here. I'll find a way out. We'll come back for you.
m86	MANNING	I'm in charge. We go back!
m86	HELLBOY	No. Don't --
m86	MANNING	-- should go back. Now!
m86	HELLBOY	Don't move. We --
m86	MANNING	We should go back -- you -- you could tear that door apart --
m86	HELLBOY	I won't take 'em. They never work.
m86	MANNING	Each of us gets a belt.
m86	HELLBOY	Those things never work. Never.
m86	MANNING	We've installed a very handy timer. Set it walk away. Cable pulls the safety pins K-boom! Easy to clean easy to use...
m86	MANNING	When we do: No mumbo-jumbo. Double- core Vulcan-65 grenades.
m86	HELLBOY	"One falls two shall arise."""" So: you pop one two come out. You kill two you get four. You kill four you're in trouble. We have to nail 'em all at once. And the eggs."
m86	HELLBOY	I wish I could be more gracious but --
m86	MANNING	In the end after you've killed and captured every freak out there -- there's still one left: you.
m86	HELLBOY	What are you trying to say?
m86	MANNING	That's what you do. That's why we need you. You have an insight.  You know monsters.
m86	HELLBOY	No it doesn't make it right but I stopped that creature didn't I?
m86	MANNING	Ah I see. That makes it all alright then.
m86	HELLBOY	I knew those men better than you did --
m86	MANNING	But not everyone was so lucky.  Two agents died today. Clay probably won't survive the night. You're reckless.
m86	HELLBOY	How big can it be?
m86	MYERS	Alone?
m86	HELLBOY	Keep her safe. No matter what. I'll deal with whatever's back there.
m86	HELLBOY	On a scale of one to ten: two. But --  -- she'll take care of you Myers. She's a tough one.
m86	MYERS	Are you sure about this?
m86	HELLBOY	Good night.
m86	MYERS	Well good n-
m86	HELLBOY	Not from you.
m86	MYERS	Anything else you --
m86	HELLBOY	Not hungry.
m86	MYERS	Hey your chili's getting cold --
m86	MYERS	Start in you got nachos coming.
m86	HELLBOY	"Nah sounds too """"needy."""""
m86	MYERS	"Need"""" is a good solid word."
m86	HELLBOY	"Myers you're a talker. What's a good word -- a solid word for """"need"""" --"
m86	HELLBOY	Shh! Just a second.
m86	MYERS	Where do you --
m86	MYERS	Hostage negotiations.
m86	HELLBOY	What was that??
m86	HELLBOY	"What landed you this job pushing """"pamcakes""""? Punctuality? What was your area of expertise?"
m86	MYERS	I think I can help -- Talk to her -- I can bring her back.
m86	HELLBOY	Hey. You: think twice --
m86	MYERS	Professor that girl you were talking about --
m86	HELLBOY	"Mmmh -- """"Pamcakes."""" We're going out --"
m86	HELLBOY	Well let's see -- there was that moment when I had a train on top of my head --
m86	MYERS	Down there. Did you ever loose track of him?
m86	HELLBOY	That's right Stud hold me down.
m86	MYERS	You want me to hold him down?
m86	HELLBOY	Could've fooled me. Go away.
m86	MYERS	No. I never was.
m86	HELLBOY	What are you a Boy Scout?
m86	MYERS	C'mon time to go home. Tape you up.
m86	HELLBOY	What took you so long?
m86	HELLBOY	Goodbye.
m86	MYERS	Yes?
m86	HELLBOY	Myers?
m86	MYERS	No. Stop. Don't do this -- Listen to me -- Tell me where you are --
m86	HELLBOY	No no no it's fine: I do my job I take a break.
m86	MYERS	Wait -- Wait -- You can't go anywhere -- I gotta go with you --
m86	HELLBOY	I just fried Stinky. Tell Father I'll be home. He shouldn't wait up.
m86	MYERS	My arm is fine. Where are you??
m86	HELLBOY	Myers??? How's your arm?
m86	HELLBOY	No one ever helps me. It's my job.
m86	MYERS	Helping you -- I just --
m86	MYERS	Oh-n-no -- I --
m86	HELLBOY	Whatcha looking at John??
m86	HELLBOY	Father's back?  Still angry?
m86	MYERS	Oh. Uh. Hello. I -- I have these. For you.
m86	HELLBOY	Those comics -- They never got the eyes right.
m86	MYERS	You're kidding --
m86	HELLBOY	...Polo.
m86	LIZ	Marco...
m86	HELLBOY	Okay someone's expecting us. Turn on your locators -- Anyone sees anything...
m86	HELLBOY	Good.
m86	LIZ	I like that...
m86	HELLBOY	Listen. I'm not like Myers. He makes you feel like you belong. And -- that's good. It really is. I -- wish I could do something about this --  But I can't.  I can promise you only two things... One: I'll always look this good. Two: I won't give up on you. Ever.
m86	LIZ	Red I --
m86	HELLBOY	But I understand what you don't like about me. I do. What I am makes you feel out of place -- out there --
m86	LIZ	I've changed my mind. I'll come to Moscow. If you -- are still going --
m86	HELLBOY	Hi.
m86	LIZ	Oh okay then. Maybe later then.
m86	HELLBOY	It's nothing. Just a list -- It's not finished --
m86	LIZ	No. Myers is taking me.
m86	HELLBOY	You're going alone?
m86	LIZ	For a cup of coffee but go ahead read.
m86	HELLBOY	Out? Out out?
m86	LIZ	Well. Is it long?? I'm going out but --
m86	HELLBOY	Um... Liz -- I -- there's something I'd like you to -- something I need you to hear.
m86	LIZ	Goodnight.
m86	HELLBOY	Goodnight then.
m86	LIZ	No. Not this time H.B. It's been months since I've had an episode. And you know what? I'm learning to control it.
m86	HELLBOY	We miss you at the Bureau. Abe's crazier every day. And Father's still mad at me --  Come back Liz. Come back. I --
m86	HELLBOY	Just a scratch.  I wanted to see you.
m86	LIZ	You better have that looked at.
m86	MYERS	What?
m86	LIZ	Hit me.
m86	LIZ	You want to know -- Now -- ? Here? Red white whatever -- Guys are all the same.
m86	MYERS	That you feel that way about me.
m86	LIZ	What -- ?
m86	MYERS	But it's not true is it?
m86	LIZ	Coffee's warming me up.
m86	MYERS	It's freezing isn't it?
m86	LIZ	Don't know. Really. I grew up with him.  I've missed him too but now every time I see him I get confused. Hardly a day goes by he's not in my mind. Even now I feel he's here --
m86	MYERS	What about you?
m86	LIZ	I know.
m86	MYERS	He -- loves you.
m86	MYERS	My uncle used to say... we like people for their qualities but love them for their defects.
m86	LIZ	A brute.
m86	MYERS	Strong.
m86	LIZ	Cocky.
m86	MYERS	No... He's determined. Unstoppable --
m86	LIZ	He's just pushy.
m86	MYERS	I admire him. He's a force of nature.
m86	MYERS	Miss Sherman he's asking you back but it's entirely your choice.
m86	LIZ	Doesn't sounds like him.
m86	MYERS	Dr. Broom asked me to invite you back to the Bureau. No special precautions no security escorts. You and me in a taxi. Like regular folks.
m86	MYERS	It's still impressive by my standards: My name's John.
m86	LIZ	"60% OF THE WOMEN IN THIS WORLD ARE NAMED """"LIZ""""."
m86	MYERS	Liz -- can I call you Liz? It's a beautiful name --
m86	LOBBY GUARD	Two steps back please.
m86	MYERS	Pardon?
m86	LOBBY GUARD	-- Section fifty-one. Step back.
m86	MYERS	Yes I --
m86	LOBBY GUARD	-- Late. Five minutes late.
m86	MYERS	Hello I'm --
m98	SALLAH	The dog!?  You are named after the dog...
m98	BRODY	May we go home now please?
m98	BRODY	Did you say...? Uh uh...
m98	SALLAH	Egyptian Mail. Morning edition.  Run!
m98	BRODY	Yes.
m98	SALLAH	Papers sir. Got it here.
m98	BRODY	Yes.
m98	SALLAH	There is no museum in Iskenderun.
m98	BRODY	My reputation precedes me.
m98	SALLAH	And I am his.
m98	BRODY	Oh what?... your servant sir.
m98	BRODY	Oh this map will show you. It was drawn by uh...
m98	SALLAH	Oh yes of course. But where are we going?
m98	BRODY	Yes but don't panic. Everything's under control. Have you... have you arranged our supplies?
m98	SALLAH	You are on your own?
m98	BRODY	Oh he's in Austria. A slight detour.
m98	SALLAH	Marcus Brody sir. And where is Indy?
m98	BRODY	Oh Sallah! What a relief!
m98	INDY	It's... a leap of faith. Oh God.
m98	BRODY	Indy... Indy you must hurry!! Come quickly!
m98	INDY	I'm going after Dad.
m98	BRODY	What about you?
m98	INDY	Marcus get hold of Sallah. Tell him to meet you in Iskenderun.
m98	BRODY	Yes. Now we know.
m98	INDY	Alexandretta. Now we know.
m98	BRODY	Now he knew there was a city with an oasis due east. Here. He knew the course turned south through the desert to a river and the river led into the mountains. Here. Straight to the canyon. He knew everything except where to begin the name of the city.
m98	BRODY	Your father would know. Your father did know. Look. He made a map.
m98	INDY	"The present city of Iskenderun is built on its ruins. Marcus -- you remember what the Grail Tablet said. """"Across the desert and through the mountain to the Canyon of the Crescent Moon.""""  But where exactly?"
m98	BRODY	"It's better now I've seen this. It's the name of a city. """"Alexandretta?"""" Hmmm..."
m98	INDY	How's the head?
m98	BRODY	Well now we know the source of the numbers but we still don't know what they mean.
m98	INDY	Dad was onto something here!
m98	BRODY	Look Indy. The Roman numerals!
m98	BRODY	Where?
m98	INDY	Marcus -- I've seen this window before.
m98	BRODY	It looks like a converted church.
m98	INDY	That doesn't look much like a library.
m98	INDY	I don't know. Maybe he'll know us.
m98	BRODY	Yes. Uh how will we recognize this Doctor Schneider when we see him?
m98	INDY	Ah Venice...
m98	BRODY	I'll tell him we'll take two.
m98	INDY	Call Donovan Marcus. Tell him I'll take that ticket to Venice now.
m98	BRODY	But if you want facts Indy I have none to give you. At my age I'm prepared to take a few things on faith.
m98	BRODY	The search for the Cup of Christ is the search for the divine in all of us.
m98	INDY	Do you believe the Grail actually exists?
m98	INDY	Do you believe Marcus?
m98	BRODY	I don't know. But someone must want it pretty badly.
m98	INDY	It's Dad's Grail Diary. Every clue he ever followed. Every discovery he made. A complete record of his search for the Holy Grail. This is his whole life. Why would he have sent this to me?
m98	BRODY	What is it?
m98	INDY	Venice Italy!
m98	BRODY	It's today's mail. And it's been opened.
m98	INDY	Dad?
m98	INDY	I don't know. But whatever it is he's in over his head!
m98	BRODY	What has the old fool got himself into now?
m98	BRODY	Yes. My treat.
m98	INDY	Your treat.
m98	BRODY	Well done Indy. Very well done indeed. This will find a place of honor in our Spanish collection.
m98	INDY	All my life!
m98	BRODY	All your life.
m98	INDY	You know how long I've been looking for that?!
m98	BRODY	You've got it!
m98	INDY	Marcus!  I did it!
m98	HENRY	Got lost in his own museum huh?
m98	BRODY	Indy! Henry! Follow met I know the way!  Haaa!
m98	HENRY	The Name of God...
m98	BRODY	No Henry. Try not to talk.
m98	HENRY	The Word of God...
m98	HENRY	It's war.
m98	BRODY	Look what you did!
m98	BRODY	But don't you see? The pen is mightier than the sword.
m98	HENRY	What?
m98	BRODY	Henry the pen --
m98	HENRY	It's a rescue old boy. Come on.
m98	BRODY	Henry! What are you doing here?!
m98	BRODY	Arghhh! Oh!
m98	HENRY	Marcus!
m98	BRODY	You're meddling with powers you cannot possibly comprehend.
m98	DONOVAN	Well Marcus we are on the brink of the recovery of the greatest artifact in the history of mankind.
m98	BRODY	I'd rather spit in your face. But as I haven't got any spit...
m98	DONOVAN	Care to wet your whistle Marcus?
m98	BRODY	Oh well. That's good. Thank you.
m98	DONOVAN	I maintain an apartment in Venice at your disposal.
m98	BRODY	Schneider?
m98	DONOVAN	Don't worry. Doctor Schneider will be there to meet you.
m98	BRODY	Tell me what's going to happen when we get to Venice?
m98	INDY	How dare he?!
m98	BUTLER	This is a castle. And we have many tapestries. But if you're a Scottish lord then I am Mickey Mouse.
m98	INDY	Dear me the man is dense. This is a castle isn't it? There are tapestries?
m98	BUTLER	Tapestries?
m98	INDY	Don't take that tone with me my good man. Now buttle off and tell Baron Brunwald that Lord Clarence MacDonald and his lovely assistant are here to view the tapestries.
m98	BUTLER	Are you expected?
m98	DONOVAN	We're through!
m98	INDY	I'm through!
m98	DONOVAN	You know something Doctor Jones? You're absolutely right.
m98	INDY	Shooting me won't get you anywhere.
m98	DONOVAN	Nazis?! -- Is that the limit of your vision?! The Nazis want to write themselves into the Grail legend and take on the world. Well they're welcome. But I want the Grail itself. The cup that gives everlasting life. Hitler can have the world but he can't take it with him. I'm going to be drinking my own health when he's gone the way of the Dodo.  The Grail is mine and you're going to get it for me.
m98	INDY	As what? A Nazi stooge like you?
m98	DONOVAN	Impossible? What do you say Jones? Ready to go down in history?
m98	DONOVAN	Didn't I warn you not to trust anybody Doctor Jones?
m98	INDY	DONOVAN!
m98	DONOVAN	We already have. Your father is the man who's disappeared.
m98	INDY	You've got the wrong Jones Mister Donovan. Why don't you try my father?
m98	DONOVAN	We've hit a snag. Our project leader has vanished. Along with all his research. Uh we received a cable from his colleague Doctor Schneider who has no idea of his whereabouts or what's become of him.  I want you to pick up the trail where he left off. Find the man and you will find the Grail.
m98	INDY	Yes?
m98	DONOVAN	You could be more right than you know.
m98	INDY	That's usually when the ground falls out from underneath your feet.
m98	DONOVAN	"This is the manuscript in which the friar chronicled the Knight's story... it doesn't reveal on location of the Grail I'm afraid... but the Knight promised that two """"markers"""" that had been left behind would.  This Tablet is one of those """"markers."""" It proves the Knight's story is true. But as you pointed out -- it's incomplete.  Now the second """"marker"""" is entombed with the Knight's dead brother. Our project leader believes that tomb to be located within the city of Venice Italy.  As you can now see Doctor Jones we're about to complete a great quest that began almost two thousand years ago. We're only one step away."
m98	DONOVAN	"Not ""supposedly Doctor Jones."
m98	INDY	I've heard this one as well. Two of these brothers walked out of the desert one hundred and fifty years after having found the Grail and began the long journey back to France. But only one of them made it. And before dying of extreme old age, he supposedly imparted his tale to a -- to a Franciscan friar, I think.
m98	DONOVAN	Let me tell you another bedtime story Doctor Jones. After the Grail was entrusted to Joseph of Arimathaea, it disappeared and was lost for a thousand years before it was found again by three Knights of the First Crusade. Three brothers, to be exact.
m98	DONOVAN	Just the same, an attempt to recover the Grail is currently underway.
m98	INDY	What good is it? This Grail Tablet speaks of deserts and mountains and canyons. Pretty vague. Where do you start looking? Maybe if the Tablet were intact, you'd have something to go on. But the entire top portion is missing.
m98	DONOVAN	Hard to resist, isn't it? The Holy Grail's final resting place described in detail!
m98	DONOVAN	Every man's dream.  Including your father's, I believe.
m98	INDY	An old man's dream.
m98	DONOVAN	Eternal life, Doctor Jones! The gift of youth to whoever drinks from the Grail.  Oh, now that's a bedtime story I'd like to wake up to!
m98	INDY	The Arthur Legend. I've heard this bedtime story before.
m98	DONOVAN	The Holy Grail, Doctor Jones. The chalice used by Christ during the Last Supper. The cup that caught His blood at the Crucifixion and was entrusted to Joseph of Arimathaea.
m98	INDY	"Where the cup that holds the blood of Jesus Christ resides forever."""
m98	DONOVAN	My engineers unearthed it in the mountain region north of Ankara while excavating for copper.  Can you translate the inscription?
m98	INDY	Where did this come from?
m98	DONOVAN	That was our assessment as well.
m98	INDY	Well it's sandstone. Christian symbol. Early Latin text. Mid-Twelfth Century I should think.
m98	DONOVAN	Well like yourself Doctor Jones I have a passion for antiquities.  Have a look over here. This might interest you.
m98	INDY	I know who you are Mr. Donovan. Your contributions to the museum over the years have been extremely generous. Some of the pieces in your collection here are very impressive.
m98	DONOVAN	My name is Donovan. Walter Donovan.
m98	ELSA	I can reach it. I can reach it...
m98	INDY	Elsa. Elsa don't. Elsa. Elsa. Give me your other hand honey. I can't hold you.
m98	INDY	Elsa don't cross the Seal. The Knight warned us not to take the Grail from here.
m98	ELSA	It's ours Indy. Yours and mine.
m98	INDY	Elsa! Elsa don't move!
m98	INDY	I'm like a bad penny. I always turn up.
m98	ELSA	I never expected to see you again.
m98	ELSA	All I have to do is scream.
m98	INDY	All I have to do is squeeze.
m98	ELSA	You do.
m98	INDY	Yet you stood up to be counted with the enemy of everything the Grail stands for -- who gives a damn what you think?
m98	ELSA	Is that what you think of me? I believe in the Grail not the Swastika.
m98	INDY	My father didn't want it incinerated.
m98	ELSA	You came back for the book? Why?
m98	INDY	Where is it? I want it.
m98	ELSA	How did you get here?
m98	INDY	So it did.
m98	ELSA	This book contained a map -- a map with no names -- precise directions from the unknown city to the secret Canyon of the Crescent Moon.
m98	ELSA	How do you know?
m98	INDY	This one. I think he's in here.
m98	INDY	Don't know. Think of something.
m98	ELSA	What are you going to do?
m98	ELSA	I know the Brunwalds are famous art collectors.
m98	INDY	What do you know about this place?
m98	ELSA	It's lucky I don't do things the same way. You'd still be standing at the Venice pier.
m98	INDY	No. You like the way I do things.
m98	ELSA	No?
m98	INDY	Knock it off. You're not mad.
m98	ELSA	Oh yes. Give them a flower and they'll follow you anywhere.
m98	INDY	At least I let you tag along.
m98	ELSA	You had it? You didn't trust me!
m98	INDY	Uh-huh.
m98	ELSA	The Grail Diary.
m98	INDY	This.
m98	ELSA	What were they looking for?
m98	INDY	Mine too.
m98	ELSA	My room!
m98	INDY	I said don't go between them!
m98	ELSA	You said go between them!
m98	INDY	I said go around!
m98	ELSA	What?
m98	INDY	Don't wander off.
m98	INDY	He never would have made it past the rats! He hates rats! He's scared to death of them!
m98	ELSA	Wouldn't it be wonderful if he were here now to see this?
m98	INDY	It's a rubbing Dad made of the Grail Tablet.
m98	ELSA	What's that?
m98	ELSA	Look at the artistry of these carvings and the scrollwork.
m98	INDY	It must be one of these...
m98	INDY	Pretty sure.
m98	ELSA	Are you sure?
m98	INDY	The Ark of the Covenant.
m98	ELSA	The Christians would have dug their own passages and burial chambers centuries later.
m98	INDY	Right. Six hundred years before the Crusades.
m98	ELSA	Pagan symbols. Fourth or Fifth Century.
m98	ELSA	Lower me down.
m98	INDY	Except he's lost and I'm not.
m98	ELSA	You don't disappoint Doctor Jones. You're a great deal like your father.
m98	INDY	Bingo.
m98	ELSA	Find something?
m98	INDY	My dad sent me this Diary for a reason. Until we find out why I suggest we keep it to ourselves.
m98	INDY	Tomorrow I'll steal you another.
m98	ELSA	But I'm already sad -- by tomorrow it will have faded.
m98	INDY	It would make me very happy.
m98	ELSA	In that case I permit you.
m98	INDY	I usually don't either.
m98	ELSA	I usually don't.
m98	INDY	Fraulein -- will you permit me?
m98	INDY	Who? Attila the Professor? He was never giddy even when he was a schoolboy!
m98	ELSA	The last time I saw your father we were in the library. He was very close to tracking down the Knight's Tomb. I've never seen him so excited. He was as giddy as a schoolboy.
m98	ELSA	Looks like the best parts have already been spoken for.
m98	INDY	And my mother's ears. But the rest belongs to you.
m98	ELSA	I knew it was you --
m98	INDY	Yes?
m98	ELSA	Doctor Jones?
m98	INDY	Yes sir!  Haaa!
m98	HENRY	After you Junior.
m98	INDY	Uh-huh.
m98	HENRY	Ready.
m98	INDY	Ready?
m98	HENRY	We named the dog Indiana.
m98	INDY	I like Indiana.
m98	INDY	Junior?! Dad...
m98	HENRY	What did you find Junior?
m98	HENRY	Me?... Illumination.
m98	INDY	What did you find Dad?
m98	HENRY	Elsa never really believed in the Grail. She thought she'd found a prize.
m98	INDY	I can get it -- I can almost reach it Dad.
m98	HENRY	Junior give me your other hand! I can't hold on!!
m98	INDY	"J""""."
m98	HENRY	"But in the Latin alphabet """"Jehovah"""" begins with an """"I""""."
m98	INDY	The penitent man is humble...
m98	HENRY	Penitent. Penitent...
m98	INDY	The penitent man is humble before God.
m98	HENRY	The penitent man. The penitent...
m98	INDY	The penitent man will pass. The penitent... the penitent. The penitent man...
m98	HENRY	"Only the penitent man will pass. Only the penitent man will pass."""""
m98	HENRY	Junior...
m98	INDY	Dad?!
m98	INDY	Get out of there Dad!
m98	HENRY	You call this archaeology?
m98	INDY	Dad?
m98	INDY	Who cares? As long as they're keeping Donovan busy. Dad you stay here while Sallah and I organize some transportation.
m98	HENRY	Now who are all these people?
m98	INDY	Dad we're well out of range.
m98	HENRY	What do you think you're doing?! Get down!
m98	INDY	This could be close.
m98	HENRY	This is intolerable!
m98	INDY	It happens to me all the time.
m98	HENRY	It's a new experience for me.
m98	INDY	I know Dad!
m98	HENRY	Those people are trying to kill us!
m98	INDY	Thanks.
m98	HENRY	Nice landing.
